idcontrato,tipoContrato,tipoFimContrato,CPV,adjudicante,adjudicatarios,concorrentes,precoBaseProcedimento,precoContratual,PrecoTotalEfetivo,dataDecisaoAdjudicacao,dataCelebracaoContrato,dataPublicacao,dataFechoContrato,nr_concorrentes,contribuinte_adjudicante,contribuinte_adjudicatarios,city,cpv_prefix,agg_cpv
11124346,Aquisição de serviços,,90420000-7 - Serviços de tratamento de águas residuais,"Tratolixo - Tratamento de Residuos Sólidos, E. I. M. - Empresa Intermunicipal, S. A.",Carmona,"516510657-Lucena &amp; Lucena, Lda | 501741380-Carmona",549920.0,549920.0,0.0,2024-11-15,2025-01-02,2025-01-02,,2,502444010,501741380,Mafra,90,Ambiente e resíduos
11123851,Aquisição de serviços,,85111900-9 - Serviços de diálise hospitalar,"Unidade Local de Saúde de Lisboa Ocidental, E. P. E.","Fresenius Medical Care Portugal, SA",,310000.0,300000.0,0.0,2024-11-21,2025-01-02,2025-01-02,,0,507618319,503070220,Oeiras,85,Saúde e ação social
11124453,Aquisição de serviços,,66510000-8 - Serviços de seguros,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,"JOÃO MATA Lda.Willis - Corretores de Seguros, S.A.","500188629-Willis - Corretores de Seguros, S.A. | 980551188-HOWDEN IBERIA, S.A. - SUCURSAL PORTUGAL | 500150141-João Mata Lda. | 501689168-LUSITANIA-COMPANHIA DE SEGUROS, S.A.",160000.0,152405.91,0.0,2024-12-13,2025-01-02,2025-01-02,,4,504300156,500150141,Lisboa,66,Finanças e seguros
11126382,Aquisição de serviços,,72253100-4 - Serviços de help-desk,"EPAL - Empresa Portuguesa das Águas Livres, S. A.","Alpibre, Lda","507902238-Shore Spun, Lda, | 515931217-Alpibre, Lda. | 515777048-Ignit People S.A. | 508535166-Real Life – Tecnologias de Informação, S.A | 504642251-MATCH PROFILER LDA | 504615947-1 - MEO - SERVIÇOS DE COMUNICAÇÕES E MULTIMÉDIA, S.A. | 508991579-SOLIDNETWORKS BUSINESS CONSULTING, LDA | 502604751-NOS | 504136992-Synchro ¿ Serviços em Outsourcing Lda | 516541307-Idoneos, Lda.",535000.0,214576.56,0.0,2024-04-24,2025-01-02,2025-01-03,,10,500906840,515931217,Lisboa,72,TI e consultoria
11127239,Aquisição de serviços,,72268000-1 - Serviços de fornecimento de software,"Cascais Próxima - Gestão de Mobilidade, Espaços Urbanos e Energias, E. M., S. A.","ACIN - iCloud Solutions, Lda","511135610-ACIN - iCloud Solutions, Lda",74520.0,74019.96,0.0,2024-12-05,2025-01-02,2025-01-03,,1,504853635,511135610,Cascais,72,TI e consultoria
11130686,Aquisição de bens móveis,,"33000000-0 - Equipamento médico, medicamentos e produtos para cuidados pessoais","Unidade Local de Saúde de Lisboa Ocidental, E. P. E.","MEDICINÁLIA CORMÉDICA - MCMEDICAL, LIMITADA",,50000.0,43455.0,0.0,2024-12-27,2025-01-03,2025-01-06,,0,507618319,500684324,Lisboa,33,Equipamento médico e farmacêutico
11130705,Aquisição de serviços,,50730000-1 - Serviços de reparação e manutenção de grupos de refrigeração,"Direção-Geral de Recursos Naturais, Segurança e Serviços Marítimos","Desafios de Vanguarda - Unipessoal, Lda.","510569170-Desafios de Vanguarda - Unipessoal, Lda. | 516836498-WIKISERVICE, LDA. | 507398009-CLEAN BREEZE - ENGENHARIA E SERVIÇOS, LDA. | 501237445-Omninstal - Electricidade, S.A. | 508622069-OPENLINE FACILITY SERVICES, S.A | 513246002-RIOBOCO-Serv.Gerais.Eng.Manutenção",65400.0,44736.0,0.0,2024-12-03,2025-01-03,2025-01-06,,6,600084973,510569170,Lisboa,50,Reparação e manutenção
11131283,Aquisição de bens móveis | Aquisição de serviços,,35120000-1 - Sistemas e dispositivos de vigilância e segurança,"EMEL - Empresa Municipal de Mobilidade e Estacionamento de Lisboa, E. M., S. A.","ENA PORTUGAL-SISTEMAS DE TELECOMUNICAÇÕES, SA","501290567-Prosegur Activa Portugal, Unipessoal, Lda | 501344608-MICOTEC - Electronica, lda | 510652581-Powershield Segurança Privada SA | 505294869-EULEN PORTUGAL SEGURANÇA, S.A. | 507011724-Ronsegur, Rondas e Segurança, Lda | 506370836-Soltráfego, S.A. | 504903098-GAT - COMERCIALIZAÇÃO DE SISTEMAS DE PROTECÇÃO ELECTRÓN | 503577600-ENA Portugal - Sistemas de Telecomunicações, S.A. | 503257567-STRONG CHARON, SOLUÇÕES DE SEGURANÇA, S.A.",353109.28,207124.4,0.0,2024-11-26,2025-01-02,2025-01-06,,9,503311332,503577600,Lisboa,35,Segurança e defesa
11132143,Aquisição de bens móveis,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",44613800-8 - Contentores para resíduos,Município de Alenquer,"Sopinal - Indústria de Equipamentos e Contentores, S.A.","500276218-SOPINAL, L.da | 500231206-Resopre - Soluções Urbanas,SA | 515980196-WASTE TO ME, UNIPESSOAL, LDA.",39714.7,26308.5,26308.5,2024-12-13,2025-01-03,2025-01-06,2025-09-23,3,501305734,500276218,Alenquer,44,Materiais de construção
11133293,Aquisição de serviços,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",63510000-7 - Serviços de agências de viagens e serviços similares,"Instituto da Mobilidade e dos Transportes, IP","DOT Viagens e Turismo, Lda.","500886113-Raso - Viagens e Turismo, S.A. | 506019608-SMILE - VIAGENS E TURISMO, UNIPESSOAL, LDA | 514862645-DOT Viagens e Turismo, Lda. | 501418180-Transalpino - Viagens e Turismo, Lda. | 501313915-Travel Quality",67180.0,67180.0,65980.96,2024-12-23,2025-01-02,2025-01-06,2026-01-27,5,508195446,514862645,Lisboa,63,Serviços auxiliares de transporte
11135590,Aquisição de bens móveis,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",30210000-4 - Máquinas de processamento de dados (hardware),"Edurumos, Educação, L.da","MEO - Serviços de Comunicações e Multimédia, S.AInforabreu, Lda,","504615947-Meo - Serviços de Comunicações e Multimédia, SA | 980079659-INETUM ESPAÑA SA | 504904493-RIS 2048 - Sistemas Informáticos e Comunicações, S.A | 500433615-Amperel Electrónica Industrial, S.A. | 500074372-AXIANSEU DIGITAL SOLUTIONS, S.A. | 502303298-PANTALHA - SIST.PROC.IMAG., LDA",404027.62,20850.02,20333.92,2024-11-29,2025-01-03,2025-01-07,2025-12-19,6,504682687,504615947,Lisboa,30,Equipamento de escritório e informática
11136141,Aquisição de serviços,,71356300-1 - Serviços de apoio técnico,"OPART - Organismo de Produção Artística, E. P. E.","Eficácia Livre - Apoio Técnico a espectáculos, LDA","510248934-Eficácia Livre - Apoio Técnico a espectáculos, LDA | 516451790-Urbanos Log S.A.",50000.0,50000.0,0.0,2024-12-19,2025-01-07,2025-01-07,,2,508180457,510248934,Lisboa,71,Arquitetura e engenharia
11132636,Aquisição de serviços,,66510000-8 - Serviços de seguros,Centro de Formação Profissional da Indústria da Construção Civil e Obras Públicas do Sul (CENFIC),"Ageas Portugal, Companhia de Seguros, SA","503454109-Ageas Portugal, Companhia de Seguros, SA | 500918880-Fidelidade Companhia de Seguros, S.A. | 500069514-companhia de seguros allianz portugal,sa | 500940231-GENERALI SEGUROS, SA",58000.0,15742.65,0.0,2024-12-16,2025-01-02,2025-01-06,,4,501845860,503454109,Loures,66,Finanças e seguros
11137369,Aquisição de serviços,,64200000-8 - Serviços de telecomunicações,"Rádio e Televisão de Portugal, S. A.","MEO - Serviços de Comunicações e Multimédia, S.A",,1034100.0,998100.0,0.0,2024-11-13,2025-01-02,2025-01-07,,0,500225680,504615947,Lisboa,64,Telecomunicações postais
11137497,Aquisição de serviços,,79992000-4 - Serviços de recepção,"EPAL - Empresa Portuguesa das Águas Livres, S. A.","ALPIBRE, LDA","513465766-Timing People - Empresa de Trabalho Temporário Lda | 517742934-Codigo Festivo Lda | 509448305-Multipessoal -Serviços, S.A. | 504136992-SYNCHRO - SERVIÇOS EM OUTSOURCING, LDA | 504267620-Auditaccount - Gabinete Empresarial, Lda. | 515931217-ALPIBRE, LDA | 505323184-Espalha Ideias, Lda | 514756969-MultiTrab – Serviços, Lda.",160000.0,141517.08,0.0,2024-12-11,2025-01-07,2025-01-07,,8,500906840,515931217,Lisboa,79,Serviços empresariais
11141480,Aquisição de serviços,,"79950000-8 - Serviços de organização de exposições, feiras e congressos",Município de Vila Franca de Xira,"Grupo Vendap, SA","508669685-Grupo Vendap, SA",210000.0,210000.0,0.0,2024-12-18,2025-01-08,2025-01-08,,1,506614913,508669685,Vila Franca de Xira,79,Serviços empresariais
11141114,Aquisição de serviços,,50750000-7 - Serviços de manutenção de elevadores,Município de Sintra,"UpElev-Elevadores e Engenharia, Lda.","505860503-LIFTECH S.A. | 501445226-TK Elevadores Portugal, Unipessoal Lda | 514330406-UpElev-Elevadores e Engenharia, Lda. | 500230757-Schmitt-Elevadores, Lda",105914.4,2088.0,0.0,2024-11-05,2025-01-01,2025-01-08,,4,500051062,514330406,Sintra,50,Reparação e manutenção
11143100,Aquisição de serviços,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",79341000-6 - Serviços de publicidade,Autoridade Nacional de Segurança Rodoviária,"Nova Expressão - Planeamento de Media e Publicidade, S.A.","507247914-Media Gate Agência de Meios e Comunicação S.A. | 503160300-Nova Expressão - Planeamento de Media e Publicidade, S.A.",404000.0,139900.0,139900.0,2024-12-04,2025-01-07,2025-01-09,2025-03-26,2,600082563,503160300,Oeiras,79,Serviços empresariais
11142997,Aquisição de bens móveis,,"18100000-0 - Vestuário profissional, vestuário de trabalho especial e acessórios",Município de Sintra,"VESTEHEROIS INNOVATION, LDA",,120000.0,30000.0,0.0,2024-12-11,2025-01-07,2025-01-09,,0,500051062,517518732,Sintra,18,Vestuário e acessórios
11139751,Aquisição de serviços,,92521200-1 - Serviços de preservação de obras expostas e espécimes,"Parques de Sintra - Monte da Lua, S. A.",- - PEDRO RODRIGUES DA COSTA,"--Pedro António Seixas Martins | 507353900-Atelier Samthiago ? Carlos José Abreu da Silva Costa, Lda | --Rodrigo Bobone Carvalho | 509898963-N-Restauros, Conservação e Restauro, Lda. | 516300415-MESCLA MEDIEVAL, UNIPESSOAL, LDA | --Pedro Miguel Gonçalves Dias | --PEDRO RODRIGUES DA COSTA",125320.0,10650.0,0.0,2024-11-21,2025-01-07,2025-01-08,,7,505174839,,Sintra,92,Cultura e desporto
11143152,Aquisição de serviços,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",79341000-6 - Serviços de publicidade,Autoridade Nacional de Segurança Rodoviária,"Nova Expressão - Planeamento de Media e Publicidade, S.A.","507247914-Media Gate Agência de Meios e Comunicação S.A. | 503160300-Nova Expressão - Planeamento de Media e Publicidade, S.A.",404000.0,88900.0,88900.0,2024-12-04,2025-01-07,2025-01-09,2025-03-26,2,600082563,503160300,Oeiras,79,Serviços empresariais
11144307,Aquisição de serviços,,64100000-7 - Serviços postais e de correio rápido,"Instituto Português de Oncologia de Lisboa Francisco Gentil, E. P. E.",CTT CORREIOS DE PORTUGAL S.A,500077568-CTT CORREIOS DE PORTUGAL S.A,77280.85,77280.85,0.0,2024-12-12,2025-01-08,2025-01-09,,1,506361616,500077568,Lisboa,64,Telecomunicações postais
11144561,Aquisição de bens móveis,,42912310-8 - Aparelhos para filtrar água,"Instituto Português de Oncologia de Lisboa Francisco Gentil, E. P. E.",Dutschmann S Gomes - Eng Lda,513807560-Dutschmann S Gomes - Eng Lda,23900.0,22750.0,0.0,2025-01-07,2025-01-07,2025-01-09,,1,506361616,513807560,Lisboa,42,Máquinas industriais
11144492,Aquisição de serviços,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",90900000-6 - Serviços de limpeza e saneamento,Serviços Sociais da Guarda Nacional Republicana,dragondisplay unipessoal lda,515109509-dragondisplay unipessoal lda | 510798560-Interessantequação Produtos Consultoria e Serviços Lda,134973.0,6338.8,7142.35,2024-12-30,2025-01-03,2025-01-09,2025-12-31,2,501433813,515109509,Lisboa,90,Ambiente e resíduos
11144515,Aquisição de serviços,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",90900000-6 - Serviços de limpeza e saneamento,Serviços Sociais da Guarda Nacional Republicana,Interessantequação Produtos Consultoria e Serviços Lda,515109509-dragondisplay unipessoal lda | 510798560-Interessantequação Produtos Consultoria e Serviços Lda,134973.0,120342.5,122008.36,2024-12-30,2025-01-03,2025-01-09,2025-12-31,2,501433813,510798560,Lisboa,90,Ambiente e resíduos
11145725,Empreitadas de obras públicas,,45454000-4 - Obras de reestruturação,"ENSINUS - Estudos Técnicos e Profissionais, S. A.",Aplus - EC SOARES UNIPESSOAL LDA,,24754.0,21670.2,0.0,2024-12-13,2025-01-09,2025-01-09,,0,502052341,516877860,Lisboa,45,Construção
11146952,Aquisição de bens móveis,,33600000-6 - Produtos farmacêuticos,"Unidade Local de Saúde de Santa Maria, E. P. E.","CSPSaúde,",,8373.98,80.0,0.0,2025-01-09,2025-01-10,2025-01-10,,0,508481287,508440246,Lisboa,33,Equipamento médico e farmacêutico
11146957,Aquisição de bens móveis,,09123000-7 - Gás natural,Instituto Superior de Ciências Sociais e Políticas,"Petrogal, S.A.","503504564-EDP | 509828698-DOUROGÁS NATURAL - COMÉRCIO DE GÁS NATURAL E ENERGIA, S.A. | 507857542-GOLD ENERGY - COMERCIALIZADORA DE ENERGIA, S.A. | 500697370-Petrogal, S.A",3834780.11,37957.0,0.0,2024-12-16,2025-01-09,2025-01-10,,4,600019152,500697370,Lisboa,09,Energia e combustíveis
11142936,Aquisição de bens móveis,,"18100000-0 - Vestuário profissional, vestuário de trabalho especial e acessórios",Município de Sintra,"VESTEHEROIS INNOVATION, LDA",,120000.0,90000.0,0.0,2024-12-11,2025-01-07,2025-01-09,,0,500051062,517518732,Sintra,18,Vestuário e acessórios
11147109,Aquisição de bens móveis,,18424300-0 - Luvas descartáveis,Santa Casa da Misericórdia de Lisboa,"EUROSAFE - Manufacturing of Military &amp; Safety Uniforms, Unipessoal, Limitada","508592909-Batist Medical Portugal, Unipessoal, Lda. | 502260750-Oasipor - Medical, S.A. | 500684324-Medicinália | 510533515-MEDLINE INTERNATIONAL PORTUGAL, UNIPESSOAL LDA. | 506986918-FACTORMED - COMÉRCIO E DISTRIBUIÇÃO PRODUTOS MÉDICOS LDA. | 513468994-Barna Import Médica Portugal, Unipessoal, Lda. | 517058219-Nescolar Unipessoal Lda | 514818484-ENERRE PHARMA, LDA. | 514929170-Planeta Vertical Lda | 510113923-Virtugal, Lda | 516029258-CATARINA &amp; PEDRO, LDA. | 505826801-Eurosafe - Manufacturing of Military &amp; Safety Uniforms Unipessoal, Lda | 506226352-Artifofo - Equipamentos Hospitalares e Farmacêuticos LDA | 501412727-Ezequiel Panão Jorge, Lda",321840.0,180730.4,0.0,2024-12-12,2025-01-07,2025-01-10,,14,500745471,505826801,Lisboa,18,Vestuário e acessórios
11147145,Aquisição de bens móveis,,37310000-4 - Instrumentos musicais,Município de Vila Franca de Xira,ELETROMUSICA,"501728929-Vitor Vaz, Unipessoal, Lda | 502475889-D. Caeiro, Lda. | 501824677-ELETROMUSICA | 502283637-Faminho Instrumentos Musicais Lda | 502162414-Viana Musica",131663.27,24645.0,0.0,2024-12-12,2025-01-08,2025-01-10,,5,506614913,501824677,Vila Franca de Xira,37,"Desporto, jogos e artesanato"
11143130,Empreitadas de obras públicas,,45211310-5 - Construção de casas-de-banho,Município de Sintra,"Margem Mítica-Manutenção e Reabilitação, Unipessoal, Lda","513279849-Margarida Braz Borges, Unipessoal, Lda. | 510800980-Margem Mítica-Manutenção e Reabilitação, Unipessoal, Lda",64999.99,16805.76,0.0,2024-12-05,2025-01-02,2025-01-09,,2,500051062,510800980,Sintra,45,Construção
11143534,Empreitadas de obras públicas,,45211310-5 - Construção de casas-de-banho,Município de Sintra,"Margem Mítica-Manutenção e Reabilitação, Unipessoal, Lda","513279849-Margarida Braz Borges, Unipessoal, Lda. | 510800980-Margem Mítica-Manutenção e Reabilitação, Unipessoal, Lda",64999.99,25962.54,0.0,2024-12-05,2025-01-02,2025-01-09,,2,500051062,510800980,Sintra,45,Construção
11147117,Aquisição de serviços,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",66510000-8 - Serviços de seguros,Centro de Formação Profissional da Industria Metalúrgica e Metalomecânica (CENFIM),"GENERALI SEGUROS, SA",,208140.0,127819.65,127819.65,2024-12-30,2025-01-01,2025-01-10,2025-01-31,0,502077352,500940231,Lisboa,66,Finanças e seguros
11144306,Aquisição de bens móveis,,34928470-3 - Sinalização,"Infraestruturas de Portugal, S. A.","VIAMARCA - PINTURAS DE VIAS RODOVIÁRIAS, S.A.","509359809-Versus - Construção Civil e Obras Públicas, S. A. | 502613475-S.N.S.V.- Sociedade Nacional de Sinalização Vertical Lda. | 506112209-ISIDOVIAS - INVESTIMENTOS LDA | 501804013-TRAFIURBE - SINALIZAÇÃO CONSTRUÇÃO E ENGENHARIA SA | 503176311-Sinalarte - Indústria de Sinalização, Lda | 502888539-BRICANTEL - Comércio de Mat. Elétrico de Bragança | 503397490-VIAMARCA - PINTURAS DE VIAS RODOVIÁRIAS, S.A. | 501332464-SinalNorte - Sinalização e Marcação de Estradas, Lda. | 502042044-Fernando L. Gaspar - Sinalização e Equipamentos Rodoviários, S.A. | 513320717-UNNISA-REVESTIMENTOS, MANUTENÇÃO E CONSTRUÇÃO, SA",99750.0,73698.47,0.0,2024-12-03,2025-01-07,2025-01-09,,10,503933813,503397490,,34,Equipamento de transporte
11145779,Empreitadas de obras públicas,,45454000-4 - Obras de reestruturação,"Aula de Comércio - Estudos Técnicos e Profissionais, L.da",Aplus - EC SOARES UNIPESSOAL LDA,513075593-VDJN Construções Lda | 515049042-STRONGPLAN | 516877860-Aplus - EC SOARES UNIPESSOAL LDA,205559.44,153916.2,0.0,2024-12-13,2025-01-09,2025-01-09,,3,502421053,516877860,Lisboa,45,Construção
11147453,Aquisição de serviços,,63510000-7 - Serviços de agências de viagens e serviços similares,Gabinete de Estratégia e Planeamento,Smile Viagens e Turismo Unipessoal Lda,"500170894-Lusanova, Excursões e Turismo Lda | 500297177-Viagens Abreu, S.A. | 503057703-PASSEPARTOUT Viagens e Turismo Lda | 510144160-Alive Portugal, S.A. | 509668453-TOP PARTNER - VIAGENS &amp; SOLUÇÕES EMPRESARIAIS, S.A. | 508773911-Wide Travel - Viagens e Turismo Lda | 980099323-Viagens El Corte Inglés | 501313915-TQ-Travel Quality Viag Turismo, SA | 500886113-Raso - Viagens e Turismo, S.A. | 514862645-DOT Viagens e Turismo, Lda. | 501061126-Top Atlântico Viagens e Turismo, SA | 505259397-Osiris, Viagens e Turismo Lda | 503542016-Clube Viajar Viagens e Turismo, Lda | 501343237-Escalatur – Viagens e Turismo, Lda | 508425409-Movimento Viagens - Viagens e Turismo Unipessoal, Lda. | 506019608-Smile Viagens e Turismo Unipessoal Lda | 501377174-TURISTRADER SOC. DESENVOLVIMENTO TURISTICO, LDA | 513165380-Raso II - Viagens e Turismo, Unipessoal Lda",791236.66,95000.0,0.0,2024-12-12,2025-01-02,2025-01-10,,18,600082717,506019608,Lisboa,63,Serviços auxiliares de transporte
11148043,Locação de bens móveis,,34144700-5 - Veículos utilitários,"Instituto da Habitação e da Reabilitação Urbana, I. P.","Benecar, Automóveis S.A.",,99400.2,54480.0,0.0,2024-12-23,2025-01-09,2025-01-10,,0,501460888,502587652,Lisboa,34,Equipamento de transporte
11148135,Aquisição de serviços,,92521200-1 - Serviços de preservação de obras expostas e espécimes,"Parques de Sintra - Monte da Lua, S. A.",- - Pedro Miguel Gonçalves Dias,"--Pedro António Seixas Martins | 507353900-Atelier Samthiago ? Carlos José Abreu da Silva Costa, Lda | --Rodrigo Bobone Carvalho | 509898963-N-Restauros, Conservação e Restauro, Lda. | 516300415-MESCLA MEDIEVAL, UNIPESSOAL, LDA | --Pedro Miguel Gonçalves Dias | --PEDRO RODRIGUES DA COSTA",125320.0,6329.88,0.0,2024-11-21,2025-01-09,2025-01-10,,7,505174839,,Sintra,92,Cultura e desporto
11147817,Aquisição de serviços,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",72200000-7 - Serviços de consultoria e de programação de software,"Instituto de Gestão Financeira e Equipamentos da Justiça, I. P.","INETUM ESPAÑA, S.A - SUCURSAL EM PORTUGAL","980079659-INETUM ESPAÑA, S.A - SUCURSAL EM PORTUGAL",169830.0,169830.0,169830.0,2024-12-26,2025-01-06,2025-01-10,2025-02-24,1,510361242,980079659,Lisboa,72,TI e consultoria
11148587,Aquisição de bens móveis,,33600000-6 - Produtos farmacêuticos,"Unidade Local de Saúde de Santa Maria, E. P. E.","Bio-Rad Laboratories, Lda.",,8373.98,4433.4,0.0,2025-01-09,2025-01-10,2025-01-10,,0,508481287,501301321,Lisboa,33,Equipamento médico e farmacêutico
11148635,Aquisição de serviços,,64200000-8 - Serviços de telecomunicações,Autoridade Nacional de Emergência e Proteção Civil,"NAUTEL- ELECTRONICA MARITIMA, LDA",,84000.0,83360.0,0.0,2025-01-03,2025-01-10,2025-01-10,,0,600082490,502267267,Oeiras,64,Telecomunicações postais
11148668,Aquisição de serviços,,64227000-3 - Serviços integrados de telecomunicações,Autoridade Nacional de Emergência e Proteção Civil,"MEO - SERVIÇOS DE COMUNICAÇÕES E MULTIMÉDIA, S.A.",,45000.0,41721.12,0.0,2025-01-03,2025-01-10,2025-01-10,,0,600082490,504615947,Oeiras,64,Telecomunicações postais
11148860,Aquisição de bens móveis,,33140000-3 - Material médico de consumo,Santa Casa da Misericórdia de Lisboa,"Fresenius Kabi Pharma Portugal, Lda.","505148676-LineaMédica - Dispositivos Médico-Cirúrgicos, S.A. | 503480045-INTERSURGICAL PORTUGAL,LDA. | 502996323-Speculum Artigos Médicos SA | 504223933-MEDTRONIC PORTUGAL, LDA | 500684324-MEDICINÁLIA CORMÉDICA - MCMEDICAL, LIMITADA | 503232785-VYGON PORTUGAL | 501506543-B.Braun Medical, Unipessoal Lda. | 501412727-EME ELECTROMEDICA - EZEQUIEL PANAO JORGE | 500730741-DIMOR LUSITANA - COMÉRCIO DE PRODUTOS DE SAÚDE E HIGIENE, LDA. | 511101066-MOLNLYCKE HEALTH CARE-Com.Prod. Hospitalares,Lda. | 502260750-Oasipor - Importação e Exportação, S.A. | 504293753-FRESENIUS KABI PHARMA PORTUGAL | 502376899-PMH, Produtos Médicos-Hospitalares, S.A. | 501576436-Air Liquide Medicinal, S.A. | 505792362-OVERPHARMA - PRODUTOS MEDICOS E FARM. | 514929170-Planeta Vertical Lda | 508771323-DRAGER PORTUGAL LDA",27825.0,697.5,0.0,2024-12-12,2025-01-06,2025-01-10,,17,500745471,504293753,Lisboa,33,Equipamento médico e farmacêutico
11149132,Aquisição de serviços,,66510000-8 - Serviços de seguros,"Imprensa Nacional - Casa da Moeda, S. A.","Willis - Corretores de Seguros, S.A.","500188629-Willis - Corretores de Seguros, S.A.",1793117.36,1566525.63,0.0,2024-12-05,2025-01-08,2025-01-10,,1,500792887,500188629,Lisboa,66,Finanças e seguros
11154716,Aquisição de serviços,,60170000-0 - Aluguer de veículos para transporte de passageiros com condutor,Secretaria-Geral do Ministério da Defesa Nacional,"CRC - Car Rental Company, Lda.","501335854-JAPRAC, RENT A CAR - ALUGUER DE AUTOMÓVEIS LDA. | 514157607-CRC - Car Rental Company, Lda.",45300.0,7700.0,0.0,2025-01-09,2025-01-10,2025-01-13,,2,600032205,514157607,Lisboa,60,Transporte
11154496,Aquisição de serviços,,92521200-1 - Serviços de preservação de obras expostas e espécimes,"Parques de Sintra - Monte da Lua, S. A.",- - Rodrigo Bobone Carvalho,"--Pedro António Seixas Martins | 507353900-Atelier Samthiago ? Carlos José Abreu da Silva Costa, Lda | --Rodrigo Bobone Carvalho | 509898963-N-Restauros, Conservação e Restauro, Lda. | 516300415-MESCLA MEDIEVAL, UNIPESSOAL, LDA | --Pedro Miguel Gonçalves Dias | --PEDRO RODRIGUES DA COSTA",125320.0,6800.01,0.0,2024-11-21,2025-01-10,2025-01-13,,7,505174839,,Sintra,92,Cultura e desporto
11148794,Aquisição de bens móveis,,33140000-3 - Material médico de consumo,Santa Casa da Misericórdia de Lisboa,"Intersurgical Portugal - Comércio de Produtos Hospitalares, Lda","505148676-LineaMédica - Dispositivos Médico-Cirúrgicos, S.A. | 503480045-INTERSURGICAL PORTUGAL,LDA. | 502996323-Speculum Artigos Médicos SA | 504223933-MEDTRONIC PORTUGAL, LDA | 500684324-MEDICINÁLIA CORMÉDICA - MCMEDICAL, LIMITADA | 503232785-VYGON PORTUGAL | 501506543-B.Braun Medical, Unipessoal Lda. | 501412727-EME ELECTROMEDICA - EZEQUIEL PANAO JORGE | 500730741-DIMOR LUSITANA - COMÉRCIO DE PRODUTOS DE SAÚDE E HIGIENE, LDA. | 511101066-MOLNLYCKE HEALTH CARE-Com.Prod. Hospitalares,Lda. | 502260750-Oasipor - Importação e Exportação, S.A. | 504293753-FRESENIUS KABI PHARMA PORTUGAL | 502376899-PMH, Produtos Médicos-Hospitalares, S.A. | 501576436-Air Liquide Medicinal, S.A. | 505792362-OVERPHARMA - PRODUTOS MEDICOS E FARM. | 514929170-Planeta Vertical Lda | 508771323-DRAGER PORTUGAL LDA",27825.0,225.0,0.0,2024-12-12,2025-01-07,2025-01-10,,17,500745471,503480045,Lisboa,33,Equipamento médico e farmacêutico
11149265,Empreitadas de obras públicas,,45232460-4 - Obras de saneamento,"Águas do Tejo Atlântico, S. A.","Metalcário - Construções, Lda.","505126311-Metalcário - Construções, Lda. | 501461396-Protecnil - Sociedade Tecnica de Construções, SA | 506442179-João Matos &amp; Ribeiro 2 - Obras Públicas e Engenharia Lda",1280000.0,896000.01,0.0,2024-12-19,2025-01-10,2025-01-10,,3,514387130,505126311,Cascais,45,Construção
11149475,Aquisição de bens móveis,,37310000-4 - Instrumentos musicais,Município de Vila Franca de Xira,"D. Caeiro, Lda.","501728929-Vitor Vaz, Unipessoal, Lda | 502475889-D. Caeiro, Lda. | 501824677-ELETROMUSICA | 502283637-Faminho Instrumentos Musicais Lda | 502162414-Viana Musica",131663.27,48929.29,0.0,2024-12-12,2025-01-10,2025-01-10,,5,506614913,502475889,Vila Franca de Xira,37,"Desporto, jogos e artesanato"
11154856,Aquisição de bens móveis,,33696500-0 - Reagentes de laboratório,"Instituto Português de Oncologia de Lisboa Francisco Gentil, E. P. E.","Roche Sistemas de Diagnósticos, Lda",,243317.8,123840.0,0.0,2025-01-08,2025-01-10,2025-01-13,,0,506361616,504282921,Lisboa,33,Equipamento médico e farmacêutico
